# commits in default branch,% of signed commits,# branches,# files in default branch,# contributors,# releases,% pre-releases in releases,Average # of assets per release,Average # of mentions per release,Average # of reactions per release,# contributors created release,# deployments,# contributors created deployment,repo size in Kbyte,# tags,# languages,% main language use,# subscribers,# milestones,# labels,# .md files,# stars,# topics,# forks,Average # issues per milestones,% closed milestones,Repo age ,Insertions in default branch,Deletions in default branch,Days from 1st commit in default branch,Days from last commit in default branch,README length (# lines),# Open pull requests,# Closed pull requests,% closed pull requests,% merged pulls among closed,# Open issues,# Closed issues,% closed issues,Average time to close issue (days),Average time to close pull request (days),Number of issue comments,Number of pull request comments,# Devs opened issues,# Devs closed issues,# Devs opened pulls,# permissions in license,# conditions in license,# limitations in license,# reactions in closed issues,# reactions in closed pulls
354,0.375706214689265,12,207,46,0,0,0,0,0,0,2,1,2678,0,6,0.545240071132187,320,0,10,4,7837,4,1794,0.000000,0.000000,869,25758,115,869,91,119,17,118,0.8740740741,0.703389830508475,71,258,0.7841945289,40.383720930,41.745762712,965,207,242,80,70,4,1,2,161,62
8902,0.50976430976431,192,10900,412,20,1,44564,44563,44705,2,0,0,116467,397,9,0.992707879996168,665,11,119,19,14284,6,750,53.000000,0.636364,655,993976,21,2163,0,48,38,1822,0.9795698925,0.881997804610318,921,1305,0.5862533693,58.806160781,7.606753813,6026,2287,621,160,110,4,1,2,2794,449
2020,0.6,1,2750,91,0,0,0,0,0,0,0,0,19699,0,3,0.99536893424175,261,0,83,7,11375,6,1380,0.000000,0.000000,1479,350596,17299,1479,0,139,65,1941,0.9675972084,0.841318907779495,297,801,0.7295081967,70.058676654,13.817104585,2276,4804,537,85,153,4,1,2,182,2313
1806,0.72606530160487,8,503,120,0,0,0,0,0,0,0,0,5942,0,1,1,682,12,19,495,8458,2,888,20.750000,0.000000,1902,63818,4,1873,0,73,21,733,0.9721485411,0.845839017735334,425,1551,0.7849190283,162.846550613,37.445504087,31670,1409,886,480,183,0,0,0,7599,438
700,0.940085592011412,10,1020,71,15,0.933333333333333,0,0,3.86666666666667,4,66,1,19475,15,6,0.891056409525536,240,16,38,74,5037,0,447,53.687500,0.875000,719,186834,2,719,0,70,3,717,0.9958333333,0.913528591352859,116,538,0.8226299694,65.259259259,4.140668524,2773,1126,245,81,87,4,1,2,242,65
5724,0.514924070518415,19,2579,262,55,0.127272727272727,1.65454545454546,0.6,106.345454545455,4,0,0,286030,55,7,0.535903694949671,1028,17,106,89,68995,8,3881,125.294118,0.529412,1028,293971,9,2988,0,176,16,3390,0.9953024075,0.894690265486726,2209,10823,0.8304941682,45.464601770,3.450853443,33810,6190,7741,1003,298,4,1,2,9633,652
3320,0.73841059602649,24,2224,188,61,0.741935483870968,0.854838709677419,1.14516129032258,44695,2,0,0,122754,62,4,0.97246345337466,313,9,17,5,20760,19,1146,10.000000,1.000000,1145,310612,8,1365,0,60,17,2815,0.9939971751,0.893428063943162,833,4753,0.850877193,36.383210913,1.860638298,16030,5381,2659,264,232,4,1,2,1630,1095
48917,0.284362224039248,143,14093,342,136,0.299270072992701,0,0,0.802919708029197,10,0,0,310179,176,22,0.860114752408627,1445,193,274,271,27354,3,7473,79.580311,0.891192,2906,2128723,5210,2995,0,46,42,12110,0.9965437788,,2223,22776,0.9110764431,125.110994075,7.933982505,37033,2967,8831,2553,912,4,1,2,12662,1147
83067,0.260071275494233,224,17075,280,56,0.428571428571429,0.035714285714286,0,0.285714285714286,7,0,0,1464695,345,11,0.689909276675729,1026,106,211,249,15535,5,3536,288.292453,0.915094,2600,7650876,3,2898,0,94,363,30607,0.9882789797,,8575,19169,0.6909241638,140.826547104,12.515644392,23656,16344,3558,2034,652,4,1,2,9565,2200
1272,0.527886881382561,15,286,298,19,0,2.21052631578947,1.57894736842105,15.2105263157895,4,0,0,6163,38,4,0.997430455594527,209,0,45,30,25754,8,1624,0.000000,0.000000,1441,119338,4691,1441,0,228,21,1007,0.9795719844,0.853028798411122,298,1547,0.8384823848,107.027149321,23.834325397,7459,2731,1254,248,387,4,1,2,2835,463
